question,ground_truth,source_esperada,tipo
¿Qué es la protección de datos por defecto según el artículo 25 del RGPD?,"El responsable del tratamiento debe aplicar medidas técnicas y organizativas para garantizar que, por defecto, solo se traten los datos personales necesarios para cada fin específico. Esto aplica a la cantidad de datos recogidos, la extensión del tratamiento, el plazo de conservación y la accesibilidad.",RGPD,single_doc
¿Cuáles son las tres estrategias principales para implementar la protección de datos por defecto según la guía de la AEPD?,"Las tres estrategias son: Optimizar (analizar el tratamiento para minimizar datos recogidos, extensión, conservación y accesibilidad), Configurar (permitir que el tratamiento sea configurable mediante valores disponibles en aplicaciones y sistemas) y Restringir (garantizar que por defecto el tratamiento es lo más respetuoso posible con la privacidad).",GUIA_PD_DEFECTO,single_doc
¿En qué casos es obligatorio designar un Delegado de Protección de Datos según el RGPD?,"Es obligatorio en tres casos: cuando el tratamiento lo lleve a cabo una autoridad u organismo público, cuando las actividades principales requieran una observación habitual y sistemática de interesados a gran escala, o cuando se traten a gran escala categorías especiales de datos.",RGPD,single_doc
¿Qué plazo tiene el responsable para notificar una brecha de seguridad a la autoridad de control?,"El responsable debe notificar la violación de seguridad a la autoridad de control competente en un plazo máximo de 72 horas desde que tenga constancia de ella, siempre que sea posible.",RGPD,single_doc
¿Cómo complementa la guía de la AEPD lo que establece el artículo 25 del RGPD sobre protección de datos por defecto?,"El artículo 25 del RGPD establece la obligación de aplicar medidas técnicas y organizativas para que por defecto solo se traten los datos necesarios en cuanto a cantidad, extensión, conservación y accesibilidad. La guía de la AEPD desarrolla esto en tres estrategias prácticas: optimizar el tratamiento analizándolo por fases, configurarlo mediante opciones de parámetros con valores por defecto restrictivos, y restringir por defecto al caso de uso más respetuoso con la privacidad.",RGPD + GUIA_PD_DEFECTO,multi_doc
¿Qué dice el RGPD sobre el consentimiento de menores y cómo lo desarrolla la guía práctica de la AEPD?,"El RGPD establece que en servicios de la sociedad de la información el consentimiento solo es válido a partir de los 16 años, permitiendo a los estados fijar un mínimo de 13 años. La guía de la AEPD advierte que en la definición de casos de uso hay que tener en cuenta especialmente las necesidades de menores y colectivos vulnerables, y que no se puede denegar el acceso a un servicio por elegir una configuración más restrictiva de privacidad.",RGPD + GUIA_AEPD,multi_doc
"Según el RGPD y la guía para responsables de tratamiento, ¿qué obligaciones tiene el responsable respecto al Delegado de Protección de Datos?","Según el RGPD, el responsable debe designar un DPD en los casos previstos, hacer pública su designación y datos de contacto, comunicarlo a las autoridades de supervisión, y garantizar su autonomía e independencia. La guía de la AEPD añade que debe relacionarse con el nivel superior de dirección, disponer de todos los recursos necesarios, y que la AEPD promueve un sistema de certificación de profesionales aunque no sea requisito indispensable.",RGPD + GUIA_AEPD,multi_doc
¿Cuánto es exactamente la multa por no designar un DPD cuando es obligatorio según el RGPD?,"El RGPD no establece una multa específica para este incumplimiento concreto. Las infracciones pueden sancionarse con multas de hasta 10 millones de euros o el 2% del volumen de negocio, o hasta 20 millones o el 4% dependiendo de la gravedad, pero no hay una cifra específica asignada a la no designación del DPD.",RGPD,trampa_alucinacion
¿Qué algoritmos de cifrado específicos recomienda el RGPD para proteger los datos personales?,"El RGPD no especifica algoritmos de cifrado concretos. Menciona el cifrado como ejemplo de medida técnica apropiada pero no prescribe algoritmos específicos, dejando al responsable la elección según el estado de la técnica y el análisis de riesgos.",RGPD,trampa_alucinacion
¿Existe en el RGPD un formulario estándar obligatorio para notificar brechas de seguridad?,"No existe un formulario estándar obligatorio en el RGPD. La guía de la AEPD menciona que el Grupo del Artículo 29 preparará un formulario estandarizado a nivel europeo para ayudar a los responsables, pero no es un requisito legal obligatorio del Reglamento.",GUIA_AEPD,trampa_alucinacion
¿Qué información mínima debe contener el registro de actividades de tratamiento?,"Debe incluir: nombre y datos de contacto del responsable o corresponsable y del DPD si existe, las finalidades del tratamiento, descripción de categorías de interesados y categorías de datos personales tratados, y las transferencias internacionales de datos.",RGPD + GUIA_AEPD,recuperacion_exacta
¿Qué significa el principio de minimización de datos según el artículo 5 del RGPD?,"El principio de minimización establece que los datos personales deben ser adecuados, pertinentes y limitados a lo necesario en relación con los fines para los que son tratados.",RGPD,recuperacion_exacta
